RECID|RTYPE|DOCNO|PRDCD|SINGKAT|DIV|QTY|SJ_QTY|PRICE|GROSS|TOKO|TGL_PB|KONS|PTAG|QTY_MAN|HPB_NO|HPB_QTY|HPB_GROSS|HPB_DATE|PKM_AKH|LENGTH|WIDTH|HEIGHT|MINOR|DOCNO2|TOKO_1|GUDANG|PPN|TANGGAL|TANGGAL2|SHOP|PRICE_IDM|PPNBM_IDM|PPNRP_IDM|ISTYPE|KM|JAMIN|JAMOUT|NO_SJ|SCTYPE 
|B|800843|10002532|APEL MERAH MANIS|31|5000|0|41.000000|205000|F0GE|11-05-2020||P|0|0|0|0||5000||||1000|||G009|0||||0|0|0||||||| 
|B|800844|10003222|ALPUKAT MENTEGA|32|10000|0|19.000000|190000|F0GE|11-05-2020|||0|0|0|0||10000||||1000|||G009|0||||0|0|0||||||| 
|B|800843|10003752|APEL SWEET GALA|31|3000|0|47.500000|142500|F0GE|11-05-2020|||0|0|0|0||3000||||1000|||G009|0||||0|0|0||||||| 
|B|800845|10004977|TELUR AYAM KAMPUNG|41|0|0|2850.000000|0|F0GE|11-05-2020|||0|0|0|0||48||||6|||G009|0||||0|0|0||||||| 
|B|800843|10007668|JERUK KPR.M/BB STANG|31|3000|0|35.000000|105000|F0GE|11-05-2020|||0|0|0|0||3000||||1000|||G009|0||||0|0|0||||||| 
|B|800843|10011262|PEAR SWEET|31|5000|0|42.000000|210000|F0GE|11-05-2020|||0|0|0|0||5000||||1000|||G009|0||||0|0|0||||||| 
|B|800843|10013184|JERUK MURCOTT|31|8000|0|65.000000|520000|F0GE|11-05-2020||P|0|0|0|0||8000||||1000|||G009|0||||0|0|0||||||| 
|B|800844|10013548|MELON ROCK MERAH&MNS|32|15000|0|16.000000|240000|F0GE|11-05-2020|||0|0|0|0||15000||||1000|||G009|0||||0|0|0||||||| 
|B|800845|10015550|P/R FRUIT COCKTL.220|36|0|0|7500.000000|0|F0GE|11-05-2020|||0|0|0|0||12||||2|||G009|0||||0|0|0||||||| 
|B|800844|10017210|MANGGA HRM MANIS PRM|32|20000|0|13.900000|278000|F0GE|11-05-2020|||0|0|0|0||20000||||1000|||G009|0||||0|0|0||||||| 
|B|800843|10024614|JERUK AFOURER|31|4000|0|80.000000|320000|F0GE|11-05-2020|||0|0|0|0||4000||||1000|||G009|0||||0|0|0||||||| 
|B|800844|10033599|JERUK MANIS LOKAL|32|10000|0|9.500000|95000|F0GE|11-05-2020|||0|0|0|0||10000||||1000|||G009|0||||0|0|0||||||| 
|B|800844|10038031|JERUK MEDAN  WHL|32|10000|0|27.900000|279000|F0GE|11-05-2020|||0|0|0|0||10000||||1000|||G009|0||||0|0|0||||||| 
|B|800844|10038032|JERUK LEMON LOKAL|32|23000|0|38.900000|894700|F0GE|11-05-2020|||0|0|0|0||23000||||1|||G009|0||||0|0|0||||||| 
|B|800845|10038277|VITA PUDDING STRW105|36|0|0|5000.000000|0|F0GE|11-05-2020|||0|0|0|0||9||||2|||G009|0||||0|0|0||||||| 
|B|800845|10038352|VITA PUDDING CKT 105|36|0|0|5000.000000|0|F0GE|11-05-2020|||0|0|0|0||9||||2|||G009|0||||0|0|0||||||| 
|B|800845|20015231|CIMORY YOGHRT STR250|52|0|0|9000.000000|0|F0GE|11-05-2020|||0|0|0|0||12||||2|||G009|0||||0|0|0||||||| 
|B|800845|20023797|CIMORY YOGHRT MIX250|52|0|0|9000.000000|0|F0GE|11-05-2020|||0|0|0|0||10||||2|||G009|0||||0|0|0||||||| 
|B|800845|20028005|CIMORY YGRT BLBRY250|52|0|0|9000.000000|0|F0GE|11-05-2020|||0|0|0|0||12||||2|||G009|0||||0|0|0||||||| 
|B|800845|20030414|CIMORY YGRT LYCHE250|52|0|0|9000.000000|0|F0GE|11-05-2020|||0|0|0|0||10||||2|||G009|0||||0|0|0||||||| 
|B|800844|20034526|PISANG CAVENDISH 1'S|32|30|0|4900.000000|147000|F0GE|11-05-2020|||0|0|0|0||30||||1|||G009|0||||0|0|0||||||| 
|B|800844|20041163|NANAS MADU MANIS WHL|32|10000|0|6.000000|60000|F0GE|11-05-2020|||0|0|0|0||10000||||1|||G009|0||||0|0|0||||||| 
|B|800845|20047616|W/COCO PUDD MNGO 120|36|0|0|5000.000000|0|F0GE|11-05-2020|||0|0|0|0||9||||2|||G009|0||||0|0|0||||||| 
|B|800845|20047617|W/COCO PUDD GUAV 120|36|0|0|5000.000000|0|F0GE|11-05-2020|||0|0|0|0||9||||2|||G009|0||||0|0|0||||||| 
|B|800845|20052812|CIMORY MIX BERRY 250|52|0|0|9000.000000|0|F0GE|11-05-2020|||0|0|0|0||10||||2|||G009|0||||0|0|0||||||| 
|B|800843|20066152|JERUK LEMON USA PCS|31|0|0|11000.000000|0|F0GE|11-05-2020|||0|0|0|0||10||||3|||G009|0||||0|0|0||||||| 
|B|800843|20067471|APEL FJ RYL MOONLGHT|31|6|0|13500.000000|81000|F0GE|11-05-2020|||0|0|0|0||12||||2|||G009|0||||0|0|0||||||| 
|B|800843|20068531|PEAR PAKAM AUSTRALIA|31|8|0|13500.000000|108000|F0GE|11-05-2020|||0|0|0|0||8||||2|||G009|0||||0|0|0||||||| 
|B|800843|20068532|APEL FUJI SUN SWEET|31|0|0|13500.000000|0|F0GE|11-05-2020|||0|0|0|0||12||||2|||G009|0||||0|0|0||||||| 
|B|800843|20070628|PEAR SEGAR PCS|31|0|0|7000.000000|0|F0GE|11-05-2020|||0|0|0|0||12||||2|||G009|0||||0|0|0||||||| 
|B|800843|20072211|LENGKENG BANGKOK PCK|31|5|0|26000.000000|130000|F0GE|11-05-2020|||0|0|0|0||5||||1|||G009|0||||0|0|0||||||| 
|B|800843|20073884|JERUK PONKAM PCS|31|6|0|5000.000000|30000|F0GE|11-05-2020|||0|0|0|0||10||||3|||G009|0||||0|0|0||||||| 
|B|800845|20075989|CIMORY YOG.STRW 4'S|52|4|0|10000.000000|40000|F0GE|11-05-2020|||0|0|0|0||10||||2|||G009|0||||0|0|0||||||| 
|B|800843|20076891|JERUK KINO PKSTN PCS|31|9|0|6500.000000|58500|F0GE|11-05-2020|||0|0|0|0||10||||3|||G009|0||||0|0|0||||||| 
|B|800845|20077454|HB GREEK YGR CLS 200|52|0|0|15500.000000|0|F0GE|11-05-2020|||0|0|0|0||10||||2|||G009|0||||0|0|0||||||| 
|B|800845|20078652|CIMORY YOG.BLBR 4'S|52|8|0|10000.000000|80000|F0GE|11-05-2020|||0|0|0|0||10||||2|||G009|0||||0|0|0||||||| 
|B|800843|20080246|APEL GALA SWEET PCS|31|18|0|8500.000000|153000|F0GE|11-05-2020|||0|0|0|0||20||||2|||G009|0||||0|0|0||||||| 
|B|800843|20081467|APEL MERAH MANIS PCS|31|0|0|6500.000000|0|F0GE|11-05-2020|||0|0|0|0||10||||2|||G009|0||||0|0|0||||||| 
|B|800845|20083859|RM TOP.SAOS BBQ 500|73|0|0|25000.000000|0|F0GE|11-05-2020||Z|0|0|0|0||1||||20|||G009|0||||0|0|0||||||| 
|B|800845|20084429|KIN YOGURT ORGNL 200|52|0|0|9600.000000|0|F0GE|11-05-2020|||0|0|0|0||10||||2|||G009|0||||0|0|0||||||| 
|B|800845|20084430|KIN YOGURT SRTW 200|52|0|0|9600.000000|0|F0GE|11-05-2020|||0|0|0|0||10||||2|||G009|0||||0|0|0||||||| 
|B|800845|20084902|RM TOP.SAOS CHL 500|73|0|0|25000.000000|0|F0GE|11-05-2020||Z|0|0|0|0||1||||20|||G009|0||||0|0|0||||||| 
|B|800844|20087298|B/O ALPUKAT MENTEGA|32|15000|0|29.000000|435000|F0GE|11-05-2020|||0|0|0|0||15000||||1|||G009|0||||0|0|0||||||| 
|B|800843|20087711|JERUK MURCOT|31|10|0|8000.000000|80000|F0GE|11-05-2020|||0|0|0|0||10||||2|||G009|0||||0|0|0||||||| 
|B|800843|20088357|PEAR SWEET PCS|31|10|0|9500.000000|95000|F0GE|11-05-2020|||0|0|0|0||10||||2|||G009|0||||0|0|0||||||| 
|B|800845|20088719|KNZLER SNGLES ORG 65|53|0|0|8500.000000|0|F0GE|11-05-2020|||0|0|0|0||24||||12|||G009|0||||0|0|0||||||| 
|B|800845|20088730|KNZLER SNGLES KJU 65|53|12|0|8500.000000|102000|F0GE|11-05-2020|||0|0|0|0||24||||12|||G009|0||||0|0|0||||||| 
|B|800845|20088731|KNZLER SNGLES MN 65|53|12|0|8500.000000|102000|F0GE|11-05-2020|||0|0|0|0||24||||12|||G009|0||||0|0|0||||||| 
|B|800845|20090512|KIN YOGURT BLUBR 200|52|0|0|9600.000000|0|F0GE|11-05-2020|||0|0|0|0||10||||2|||G009|0||||0|0|0||||||| 
|B|800845|20092550|YOYIC YGRT STRAW 140|52|0|0|9500.000000|0|F0GE|11-05-2020|||0|0|0|0||6||||2|||G009|0||||0|0|0||||||| 
|B|800845|20092551|YOYIC YGRT MNGO 140|52|0|0|9500.000000|0|F0GE|11-05-2020|||0|0|0|0||6||||2|||G009|0||||0|0|0||||||| 
|B|800845|20092553|YOYIC LYCHEE 200ML|52|0|0|8500.000000|0|F0GE|11-05-2020|||0|0|0|0||6||||2|||G009|0||||0|0|0||||||| 
|B|800845|20092554|YOYIC ORIGINAL 200ML|52|0|0|8500.000000|0|F0GE|11-05-2020|||0|0|0|0||6||||2|||G009|0||||0|0|0||||||| 
|B|800845|20093505|YOFORIA BRY SMTH 200|52|0|0|8800.000000|0|F0GE|11-05-2020|||0|0|0|0||6||||2|||G009|0||||0|0|0||||||| 
|B|800845|20093508|YOFORIA BLUEBRY 200|52|0|0|8800.000000|0|F0GE|11-05-2020|||0|0|0|0||6||||2|||G009|0||||0|0|0||||||| 
|B|800845|20094913|KIN YOGURT LYCH 200|52|2|0|9600.000000|19200|F0GE|11-05-2020|||0|0|0|0||10||||2|||G009|0||||0|0|0||||||| 
|B|800845|20095317|GRNFIELDS YOG STR250|52|0|0|8500.000000|0|F0GE|11-05-2020|||0|0|0|0||12||||2|||G009|0||||0|0|0||||||| 
|B|800845|20095318|GRNFIELDS YOG BLU250|52|0|0|8500.000000|0|F0GE|11-05-2020|||0|0|0|0||12||||2|||G009|0||||0|0|0||||||| 
|B|800845|20095319|GRNFIELDS YOG LYC250|52|0|0|8500.000000|0|F0GE|11-05-2020|||0|0|0|0||6||||2|||G009|0||||0|0|0||||||| 
|B|800845|20096560|YC ADD TOP SAUS CHL|73|0|0|1000.000000|0|F0GE|11-05-2020|||0|0|0|0||1||||250|||G009|0||||0|0|0||||||| 
|B|800845|20096561|YC ADD TOP SAUS BBQ|73|0|0|1000.000000|0|F0GE|11-05-2020|||0|0|0|0||1||||250|||G009|0||||0|0|0||||||| 
|B|800845|20096657|KNVRS SOSIS BKR RNDG|73|0|0|10000.000000|0|F0GE|11-05-2020||Z|0|0|0|0||120||||144|||G009|0||||0|0|0||||||| 
|B|800845|20096712|WG CO PUD COCONT 120|36|0|0|4500.000000|0|F0GE|11-05-2020|||0|0|0|0||8||||2|||G009|0||||0|0|0||||||| 
|B|800845|20097516|YOFORIA ACTIV8 170ML|52|0|0|6900.000000|0|F0GE|11-05-2020|||0|0|0|0||6||||2|||G009|0||||0|0|0||||||| 
|B|800845|20097999|YOFORIA LYCH BLS 200|52|0|0|8800.000000|0|F0GE|11-05-2020|||0|0|0|0||6||||2|||G009|0||||0|0|0||||||| 
|B|800845|20098403|KONVERSI BAKSO KEJU|73|40|0|3000.000000|120000|F0GE|11-05-2020||Z|0|0|0|0||40||||1|||G009|0||||0|0|0||||||| 
|B|800845|20098404|KONVERSI BAKSO PEDAS|73|40|0|3000.000000|120000|F0GE|11-05-2020||Z|0|0|0|0||40||||1|||G009|0||||0|0|0||||||| 
|B|800845|20099158|YOYIC STRAWBERRY 130|52|0|0|6000.000000|0|F0GE|11-05-2020|||0|0|0|0||6||||2|||G009|0||||0|0|0||||||| 
|B|800845|20099159|YOYIC BLUEBERRY 130|52|0|0|6000.000000|0|F0GE|11-05-2020|||0|0|0|0||6||||2|||G009|0||||0|0|0||||||| 
|B|800845|20099900|CIMORY YOG.TAYO 4'S|52|0|0|10000.000000|0|F0GE|11-05-2020|||0|0|0|0||10||||2|||G009|0||||0|0|0||||||| 
|B|800845|20102567|CIMORY SQZE STRW 120|52|0|0|10000.000000|0|F0GE|11-05-2020|||0|0|0|0||8||||2|||G009|0||||0|0|0||||||| 
|B|800845|20102569|CMORY SQZE BLUBR 120|52|0|0|10000.000000|0|F0GE|11-05-2020|||0|0|0|0||8||||2|||G009|0||||0|0|0||||||| 
|B|800845|20102570|CIMORY SQZE ORGN 120|52|0|0|10000.000000|0|F0GE|11-05-2020|||0|0|0|0||8||||2|||G009|0||||0|0|0||||||| 
|B|800845|20103177|CMORY LOW FAT T/F250|52|0|0|9000.000000|0|F0GE|11-05-2020|||0|0|0|0||8||||2|||G009|0||||0|0|0||||||| 
|B|800845|20103268|CMORY LOW.F BNNA 250|52|0|0|9000.000000|0|F0GE|11-05-2020|||0|0|0|0||8||||2|||G009|0||||0|0|0||||||| 
|B|800845|20103269|CMORY LOW.F ST&M 250|52|2|0|9000.000000|18000|F0GE|11-05-2020|||0|0|0|0||8||||2|||G009|0||||0|0|0||||||| 
|B|800844|20103854|JERUK SIAM HIJAU PRS|32|10|0|17900.000000|179000|F0GE|11-05-2020||P|0|0|0|0||10||||1|||G009|0||||0|0|0||||||| 
